subjectivity,polarity,analysis,Tweets,Clusters
Hello World,,,Hello World,
,,,,
,,,,
0.5,0.4,Positive,"Valorant Banner for @Dbomb08 , ENJOY!!! #Valorant #GFX https://t.co/IPcIYJZS7y",2
0.1,0,Neutral,"The Marshal is actually underrated AF
#VALORANT lorant #ValorantClips https://t.co/k7SpfCilOz",0
0,0,Neutral,Just one.... more.... day.... #VALORANT https://t.co/xQjwINFue0,0
0,0,Neutral,Gonna play #VALORANT,0
0,0,Neutral,Kinda really wanna play #VALORANT,0
0,0,Neutral,What time does valorant release #valorant,0
0,0,Neutral,Valorant Montage But With The Music Synced... https://t.co/7OTgojVzGM #VALORANT #ValorantClips,0
0,0,Neutral,ONE MORE DAY UNTIL #VALORANT #twitchstreamer,0
0.25,0.068181818,Positive,"Wanted to let you guys know I won't be going live tomorrow because I will be working. No worries though, we will be back Tuesday for the birth of #VALORANT",0
0,0,Neutral,Jett in an Autumn themed outfit #Valorant #Art https://t.co/8ORWANgKXs,0
0,0,Neutral,Just finished editing a #Valorant beta gameplay video! Will render and upload within 24 hours on #youtube ! Check it out at https://t.co/3K4Q4BpA48,0
0,0,Neutral,#VALORANT releases tomorrow let’s go!!!!!!!!!,0
0.454545455,0.136363636,Positive,New #VALORANT video is going up soon!! https://t.co/jQCzzy70Ar,2
0.454545455,0.136363636,Positive,New map ASCENT! #VALORANT https://t.co/50iMzeaBnn,2
0,0,Neutral,So close to #VALORANT,0
0.727272727,0.068181818,Positive,new Video for #VALORANT @teamhopeggs RC is finally out. Check it out here!! https://t.co/x1CfWCpUto,2
0,0,Neutral,#RiotGames reveals the next map coming to #Valorant at launch. https://t.co/IjAVTxZhCg,0
0.438333333,-0.121666667,Negative,"really looking forward to playing @PlayVALORANT when it comes out, but absolutely not looking forward to the increased amount of racism i will experience (it was already very high) due to racial tension. 

i just want to play a game :( #valorant",1
0.8,0.4,Positive,"*Free To Use* The Bots Have Had It

Everything in this photo was handmade grass, castle, bots, trees, bushes, etc

@eRaEternity #eRaForEternity #Valorant https://t.co/emQUACfxGx",2
0.377272727,0.568181818,Positive,"New Video is up! 

Best of Valorant Beta!!! 
@PlayVALORANT #VALORANT 

https://t.co/xuuF01Fvzo",2
0,0,Neutral,"Metro Esports NA/PC
Looking for a Diamond 2+ Sage player, 15+, available 5-7 days a week (Exceptions can be made)
DM sackkbut#7158 on discord. #VALORANT",0
0,0,Neutral,@_TeamOnslaught Doing a little r&r in Fayetteville till Tuesday then I’ll be back #valorant,0
0,0,Neutral,"Episode 5 of my #valorant podcast ""Run It Back!"" is up on YouTube now!

https://t.co/RjP9MFZjhd",0
0.9,-0.6,Negative,We are still on the looks for players and a coach! If interested don’t be afraid to dm. #VALORANT #ValorantGame https://t.co/XeVzh9YcYr,1
0.65,-0.065909091,Negative,"OK THE #VALORANT MONTAGE IS LIVE GANG GO CHECK IT OUT OR ILL FUCKING FIND YOU

 https://t.co/bWc7SQQdMR",1
0.454545455,0.136363636,Positive,NEW VIDEO up in 1 hour! #VALORANT https://t.co/XIUdkc9Nyg,2
0.4,-0.4,Negative,Did #valorant beta end? It says I can’t access the game,1
0.25,0.25,Positive,Anyone know exactly when #VALORANT drops on the 2nd?,2
0.5,0,Neutral,"[#Valorant]
Elemental Esports is recruiting. Open join and looking at building our community. 
Join our Discord https://t.co/NkCFuLJraU
If you're a 5man speak to Smex
If you're an individual & LFT at competitive gameplay Message Scibba https://t.co/hrmqFCKh7y",2
0,0,Neutral,Cant wait to get back on #Valorant!,0
0,0,Neutral,"4k with the OP! 

#VALORANT 
#ValorantClips https://t.co/0odMK8iUuy",0
0,0,Neutral,"Keep Bind, Tweak Split, Drop Haven.
#VALORANT https://t.co/Uxioaxzrzx",0
0.461111111,0.305555556,Positive,After further review I think im sticking to maining Omen. Reyna looks cool but doesn’t seem to fit my playstyle with her abilities #VALORANT,2
0,0,Neutral,Playing League of Legends tonight at https://t.co/3oOhSQFf37 .. patiently awaiting the release of #VALORANT!,0
0.454545455,0.136363636,Positive,NEW #VALORANT MONTAGE COMING TOMORROW STAY TUNED ITS GONNS BE NASTY,2
0.3,1,Positive,who is the best #VALORANT agent?,2
0.454545455,0.136363636,Positive,1 more day of tortute without #VALORANT and it will be all over. (Can’t wait to try the new agent),2
0,0,Neutral,bro these riots will stop once #valorant is out,0
0.9,0.4,Positive,"Does anyone know any legitimate esports organizations (I didnt say huge, I said legitimate building a @PlayVALORANT team? If so lemme know. #VALORANT #eSports",2
0.477272727,0.318181818,Positive,"Here are some pictures of the brand new map called ""Ascent"" that will be available to play on the day that #VALORANT launches (June 2nd) alongside the top-view of the map! 

#VALORANTnews | @PlayVALORANT https://t.co/DbQHckSx7U",2
0,0,Neutral,Newst youtube video check it out lemme know what you think #VALORANT #VALORANTbeta https://t.co/BIld0TDShu,0
0,0,Neutral,ONE DAY REMAINING @PlayVALORANT  !!! #VALORANT,0
0.55,0.35,Positive,I wish I could quit my job and become a @PlayVALORANT pro full time ... dreams #valorant,2
1,0,Neutral,#VALORANT tomorrow we can finally play https://t.co/KWCyBjSiNL,1
0.333333333,0.166666667,Positive,jett main btw #valorant #jett https://t.co/bxpxaI5veE,2
0.477272727,0.234848485,Positive,"Hey guys, just a quick reminder to check out my new #VALORANT video :) 

https://t.co/x4qr7Be4Wz",2
0,0,Neutral,Two team spots left! #VALORANT https://t.co/JWbNIqQt23,0
0.4,-0.4,Negative,Will those of us who had the beta have to re-download and install the game when it comes out June 2nd? Or will the client we have already be updated and ready to go? #VALORANT  #PlayValorant,1
0.498528139,0.205367965,Positive,"With the SpaceX Launch, Valorant Release, and Sony PS5 Reveal I personally am kind of happy Epic slightly delayed the new season because it makes Fortnite stand out and be even more special while also letting me be able to play Valorant again!

#Fortnite #VALORANT",2
0,0,Neutral,"Not to be that guy but all this chaos, protest, rioting started when the #VALORANT beta ended.",0
0.454545455,0.136363636,Positive,"https://t.co/w5LTsWBGkN

Learn about the new skills and abilities of Valorants newest agent, Reyna!

#valorant #reyna",2
0,0,Neutral,"Preparing for #Valorant with some Aim Lab, a little bit of Overwatch and probably gonna end the day with a little bit of #SmashBrosUltimate 

https://t.co/ULPjerRbV3",0
0.9,-0.8,Negative,I RANKED UP IN VALORANT... ROAD TO IMPROVING! | #VALORANT | https://t.co/0kMLsg760A https://t.co/cNqXpNU90s,1
0.454545455,0.136363636,Positive,"The training map in #VALORANT is almost identical to the new map that we will be getting on June 2nd. This map will go by the name of ""Ascent"" and will be set in Venice, Italy.

#VALORANTnews | @PlayVALORANT https://t.co/qrNCcm3OWD",2
0,0,Neutral,"If you guys havent learned about valorants agent 11, Reyna. Watch this video!
#valorant #Reyna 

https://t.co/M84pw6btB0 https://t.co/AqI1Tzq7ds",0
0,0,Neutral,Reyna from #Valorant is really just Somba from #Overwatch ... https://t.co/VO9Kk2uup5,0
0.384848485,0.278787879,Positive,"Is VALORANT'S NEW AGENT Actually Good

https://t.co/CZAD8HFqFZ

#VALORANT #ValorantClips",2
0,0,Neutral,PRESS PLAY: https://t.co/63G96Xco9Z #VALORANT https://t.co/1X609186ID,0
0.454545455,0.136363636,Positive,"#VALORANT new map reveal: Ascent

@ValorantUpdates

https://t.co/FrEPyb9mhh",2
0.288888889,-0.266666667,Negative,"Wanting to be able to play #VALORANT so bad that I'm resorting to watching old clips of me getting absolutely destroyed to fill the void..
https://t.co/vZfLboJITe",1
0.5,0.25,Positive,When you're having a sleepy day so you just draw a cute Russian lad. #sova #valorant https://t.co/6aCLZO1VFs,2
0,0,Neutral,#ApexLegends Stream waiting for #VALORANT to release https://t.co/pEiRrv6iIq,0
0,0,Neutral,"this cypher... #VALORANT 

https://t.co/LbnzO1y2KY",0
0,0,Neutral,VALORANT tips and tricks from the pros @espn_esports #valorant https://t.co/OmmkoMQTsC,0
0,0,Neutral,Quand ton pote a bien clutch #valorant https://t.co/ARL5tEiBk7,0
0.454545455,0.136363636,Positive,"Looking forward to playing the new hero!  2 more days?!?!
New Valorant agent Reyna revealed https://t.co/Oepk0Ancw9

#Valorant #GamingNews",2
0,0,Neutral,What a walking headshot #ValorantClips #Valorant https://t.co/sK17DGo1pT,0
0.5,0.266666667,Positive,Day four's clip while we wait for #valorant. This is where my friends are teaching me how to play. A good group of friends has made playing this game even better. https://t.co/RNMcjIVoZu,2
0.4,-0.4,Negative,"Wondering what Reyna can do in #VALORANT?

Riot Games has explained each of her abilities in more detail: https://t.co/o6EENmrgf5 https://t.co/Buzj8Uj4uw",1
0.6,0.7,Positive,Good at #Valorant? Want to make money as a coach? visit https://t.co/YzZuzIo18Y to get your career started https://t.co/RgqeAqUB6B,2
0.65,0.15,Positive,"Now that Reyna's kit has been explained I'm incredibly excited for her. She is either gonna be a boon for your team or a hole in your comp. If you pick her you better be ready to do shit. 

#valorant",2
0,0,Neutral,Anyone know what time #VALORANT Releases on Tuesday?,0
0,0,Neutral,"Apparently ghost can kill you now @PlayVALORANT 
#valorant #twitchstreamer https://t.co/Omkk3l4GG9",0
0.275,0.159090909,Positive,"Nothing crazy here, just a little @PlayVALORANT content to hold you over till #VALORANT is back. Enjoy :) https://t.co/Y8xS94fkU5 for live Valorant action starting again on the 2nd. #ValorantClips https://t.co/ZX0Qc0L4eW",2
0,0,Neutral,only two days to go! #VALORANT,0
0.066666667,0,Neutral,Ghost headshots are so satisfying on #VALORANT (idc the last guy was ark) https://t.co/nQu0XfQREY,0
0.777777778,0.083333333,Positive,"Moonrise's first tournament will be in 6 days! Exited to see all of the teams there! We will be livestreaming Semi-Finals and Finals on Twitch! #Valorant 
@TheRealBoomYT Will be hosting the streams!",2
0,0,Neutral,Reyna lowkey gonna be trash i think #VALORANT,0
0.516666667,0.308333333,Positive,"First Valorant montage by @InsomniaEmp the editing is clean af..
https://t.co/2NFozvqskw 
#Valorant #ValorantClips",2
0,0,Neutral,"Reyna’s Abilities. #Valorant #PlayValorant

Via: YouTube/PlayerIGN https://t.co/H5WI3JVn2t",0
0.55,0.35,Positive,Full Screen Image of Reyna. #Valorant #PlayValorant https://t.co/MNerB30pqp,2
0.25,0.068181818,Positive,"Episode 5 of my #Valorant podcast Run It Back is starting now!

LIVE

https://t.co/zCpbsxUuGe",0
1,0,Neutral,Finally #Valorant https://t.co/DNkbRcQ8cg,1
0.4,0.8,Positive,"Hey Lions!
Interested in playing #Valorant with the chance to win some cash?!

We have not one but THREE upcoming tournaments for you!
Sign-ups are available here https://t.co/e9rrRWZu3H

We hope to see YOU taking part!
#FearThePride https://t.co/87KKglegIa",2
0.475,-0.025,Negative,Riot Games has given Valorant a full release date. #valorant https://t.co/WgGdV1OlVj https://t.co/9jLDK3hTV0,2
0.454545455,0.136363636,Positive,Ready for my new FPS #VALORANT #Jett https://t.co/pIPkYEuUpa,2
0.454545455,0.136363636,Positive,looking forward to the new valorant mode :) #VALORANT,2
0,0,Neutral,"A little sketch 
#reyna #VALORANT https://t.co/mOZbYjZX2P",0
0.742424242,-0.577272727,Negative,"3D Beta Rank Buddies!

Do you think Riot Games should give you a new Rank Buddy every time you rank up (MAX Valorant Rank)?

Via u/Gearman
#VALORANT  #ValorantBeta https://t.co/AV3jjMIIlx",1
0.48270202,0.124116162,Positive,"Hey, guys, I am new to youtube and was wondering if you can check out my most recent video  I tried really hard and enjoy doing it and I hope it's great for you too. If you don't like it I get it but at least give it a chance, please!  
#Valorant
https://t.co/2qjKbVOU0f",2
0.454545455,0.136363636,Positive,"Hey everyone, I have a sneak peek of my new #Youtube video coming out featuring some more of my favorite #Valorant plays!  Video edit: @Nakedmolerat_gg 

Video out TOMORROW!
>https://t.co/fQIxfxYt7D https://t.co/Dm7mcFM4ey",2
0,0,Neutral,"L I V E

//

Back on CSGO messin around on scrim maps to practice for Valorant! Come hangout!

#VALORANT #CSGO 
https://t.co/bA3ofNOidb",0
0,0,Neutral,can't wait to play #VALORANT,0
0,0,Neutral,"DM us to get started today!

#VALORANT https://t.co/kS3XbDyo33",0
0.454545455,0.136363636,Positive,Analyzing Reyna - New #VALORANT Agent https://t.co/KZo0mlsSKW,2
0,0,Neutral,Don’t forget to play Valorant with us today! #windowroyale #valorant https://t.co/PZl2LiXggi,0
0.35,0.35,Positive,"Actually ""PLAY: REYNA"" playlist is incredibly good. #VALORANT",2
0,0,Neutral,"Trading clutches for follows in #VALORANT 

https://t.co/eH2Uov3V1R",0
0,0,Neutral,#VALORANT Brimstone explained in 30 seconds https://t.co/fsszthxoJP https://t.co/YLadFHaE8R,0
0.9,-0.8,Negative,Learn from #VALORANT rank coaches at https://t.co/YzZuzIo18Y https://t.co/96Kn0AdsQT,1
0.944444444,0.65,Positive,"WE ARE EXPANDING!

We are proud to announce that SCL will now be represented by @CardinalGamingg! They will have teams in #R6, #VALORANT and more soon!

Make sure to join the Discord server (https://t.co/oj8JNPGp2A) and give them a follow on Twitter! https://t.co/q2IuVbTjOs",2
0.427272727,-0.131818182,Negative,"New #VALORANT Agent Reyna has her abilities explained by the game's Character Design Lead.

Details:
https://t.co/xlIGl1kOJC",1
0.333333333,0.166666667,Positive,Who’s excited for #VALORANT launch in two days? Let me know who you will choose to main! @PlayVALORANT,2
0.454545455,0.136363636,Positive,"More Info On New Agent, Map and more @ESPN_Esports  
#VALORANT

https://t.co/AAjK9KfucF",2
0,0,Neutral,"No stream until the 2nd when #VALORANT is back!

Working on my BETA montage video for YOUTUBE today",0
0.464772727,0.055681818,Positive,"New video, new game! You’re gunna need these “pro” tips if you want to kill it during the #VALORANT full release! https://t.co/s6PYLj9paL",2
0,0,Neutral,viper from #valorant inspired? yes. #RiotGames https://t.co/haA5Bd5UYS,0
0.393939394,0.193181818,Positive,"New #VALORANT map 'Ascent' is expected to release at launch.

Here's our first look at screenshots and a map overview! https://t.co/9rP5lIqcxl",2
0.307070707,-0.087878788,Negative,"If you want to see clips from @NotSpooder dropping 52 elims in a game of #Valorant, check out the video in the link in my last tweet. New video up on #youtube.",0
0.602272727,0.468181818,Positive,"Ascent, the new #VALORANT map looks great, can not wait to figure Viper placements. #PlayValorant https://t.co/X0qTc4CcSt",2
0,0,Neutral,Looks like #VALORANT has playlists to kick off their launch date! Which is your favourite? https://t.co/4lJSYISsDt,0
0.393939394,0.193181818,Positive,"New #VALORANT map 'Ascent' is expected to release at launch.

Here's our first look at gameplay, screenshots and a map overview!

https://t.co/QORUnSR9ob",2
0.502272727,0.243181818,Positive,"New video posted on #youtube. 5 things #VALORANT must fix on the full release on June 2. 

https://t.co/ctTBe5tcLy",2
0,0,Neutral,Which playvalorantofficial agent will you be using on June 2? #valorant #valorantclips https://t.co/RyrqPJFf66,0
0,0,Neutral,#Valorant reveals the vampiric agent Reyna as its launch character https://t.co/cJLDtyrjMB https://t.co/dLAhteUnao,0
0,0,Neutral,Anyone missing Valorant? I can't stand it being down @PlayVALORANT #VALORANT,0
0.575,0.466666667,Positive,"I was gonna try and stream this weekend, but with us basically finishing #minecraftdungeons and #valorant servers being down still, I honestly don't know what to play lol",2
0,0,Neutral,@PlayVALORANT But who is Reyna? #NewCharacter #Valorant,0
0.5,0.333333333,Positive,Quick Valorant wallpaper I made. Let me know what you think. #VALORANT https://t.co/S3laoAhB48,2
0,0,Neutral,"Some nutty Valorant plays!
#Valorant @PlayVALORANT https://t.co/EJuOeOk6Qb",0
0.44040404,0.256565657,Positive,I can’t wait to play the new character valorant is developing. Reyna looks super fun to play. #VALORANT,2
0.55,0.35,Positive,"Here's Episode 6 of a full match on #VALORANT with friends!

https://t.co/MJ67GlOmDG",2
0.486666667,0.07,Positive,"First three thoughts on Reyna in #VALORANT 

1: HOLY COW looks amazing and fun to play 
2: Seems like a selfish pick in team play 
3: Interested to see how strong she is",2
0.6875,-0.3125,Negative,@PlayVALORANT Does anyone know the time of day it will be released on the 2nd will it be 12am BST or will it be 12am CDT meaning 5am BST? #VALORANT #RiotGames,1
0,0,Neutral,"Temporary Profile picture until ours is fully completed!

#valorant
#operator https://t.co/Ysp12OSFGb",0
0,0,Neutral,CAN YOU RELEASE VALORANT NOW? I AM LAZY TO WAIT #VALORANT,0
0,0,Neutral,2 more days til Valorant launch. Feels like its been weeks since I played.. @PlayVALORANT #VALORANT,0
0,0,Neutral,"June 2nd can’t get here any faster.
#valorant #esports https://t.co/YKjC7aIDKs",0
0,0,Neutral,"Reyna Teased To Join Valorant as 11th Agent! #Valorant releases June 2.
Check out what her abilities might be here: https://t.co/8N8aXeNSbl",0
0,0,Neutral,I need #VALORANT,0
0.366666667,0.266666667,Positive,"Ok I’m selling my #Valorant account it has 

-70 (Plus 10% bonus from beta) worth of credits on it
-Closed Beta Rewards
-So when Beta ends you’ll have 8,140 Valorant Points
DMs are open https://t.co/LngEHj3OuW",2
0.333333333,0.25,Positive,"Are you hyped for #VALORANT on June 2nd?

Then get ready for the Valorant X Series, our first official tournament!

Friday, June 5th
$3,000 Prize Pool
$15/player Entry Fee

Register Now: https://t.co/DXsnPp4Ccr

Join us on Discord: https://t.co/2R4Hz4v2JJ",2
0.393939394,0.193181818,Positive,"We are incredibly excited to announce our first #VALORANT Player! This is the beginning of a new chapter... 

01/06-2020

@benxchow | #SPECTER https://t.co/S9Xo2QN207",2
0,0,Neutral,"2 more days to launch.
#VALORANT",0
0.595959596,-0.287878788,Negative,"Reyna’s (new agent) abilities: 

Duelist: 

C: casts a blinding orb, blinding anyone who sees it 
Q: health regeneration upon kills, up to 150 
E: temporary invincibility (cannot use weapons) 
X: temp increase in rate of fire, reload speed, and skills 

#Valorant #Reyna",1
0,0,Neutral,Let's go #VALORANT https://t.co/VDGF86pkR7,0
0,0,Neutral,"Let's go to @Valorant! 

#VALORANT #Twitch
https://t.co/KRw5tCVp49",0
0.536363636,-0.219805195,Negative,"After reading the replies on the new #Valorant agent, people are dumb as fuck.
The game is not dead. The game isn’t even online. June 2nd, fortnite will be so far down the twitch directory.",1
0.522222222,-0.055555556,Negative,"They finally joined in

SunSister announces their recruitment on VALORANT Division. 

afaik four Teams (Crest, Detonation, V3, SGK) have also announced that they  are doing #VALORANT : That's already half of the current LJL Teams https://t.co/nEI4YO8VTo",1
0,0,Neutral,"#VALORANT pro-player will be accepted from me, cya",0
0.4,-0.4,Negative,"Wondering what Reyna can do in #VALORANT?

Riot Games has explained each of her abilities in more detail: https://t.co/tAQYIjsRbH https://t.co/aWhimlcv4e",1
0,0,Neutral,"life without @PlayVALORANT is so bored...
#VALORANT",0
